,airportcode,airportcodecopy,airport,city,country,lat,long,currencycode,toeuro,fromeuro
231,KUG,KUG,Kubin Airport,Kubin,Australia,-10.225,142.218,AUD,0.7253,1.3791
232,LNO,LNO,Leonora Airport,Leonora,Australia,-28.8781,121.315,AUD,0.7253,1.3791
233,LEL,LEL,Lake Evella Airport,Lake Evella,Australia,-12.4989,135.806,AUD,0.7253,1.3791
234,LDH,LDH,Lord Howe Island Airport,Lord Howe Island,Australia,-31.5383,159.077,AUD,0.7253,1.3791
235,IRG,IRG,Lockhart River Airport,Lockhart River,Australia,-12.7869,143.305,AUD,0.7253,1.3791
236,LSY,LSY,Lismore Airport,Lismore,Australia,-28.8303,153.26,AUD,0.7253,1.3791
237,LHG,LHG,Lightning Ridge Airport,Lightning Ridge,Australia,-29.4567,147.984,AUD,0.7253,1.3791
238,LRE,LRE,Longreach Airport,Longreach,Australia,-23.4342,144.28,AUD,0.7253,1.3791
239,LER,LER,Leinster Airport,Leinster,Australia,-27.8433,120.70299999999999,AUD,0.7253,1.3791
240,LVO,LVO,Laverton Airport,Laverton,Australia,-28.6136,122.42399999999999,AUD,0.7253,1.3791
241,UBB,UBB,Mabuiag Island Airport,Mabuiag Island,Australia,-9.95,142.183,AUD,0.7253,1.3791
242,MKR,MKR,Meekatharra Airport,Meekatharra,Australia,-26.6117,118.54799999999999,AUD,0.7253,1.3791
243,MIM,MIM,Merimbula Airport,Merimbula,Australia,-36.9086,149.901,AUD,0.7253,1.3791
244,MGT,MGT,Milingimbi Airport,Milingimbi,Australia,-12.0944,134.894,AUD,0.7253,1.3791
245,MNG,MNG,Maningrida Airport,Maningrida,Australia,-12.0561,134.234,AUD,0.7253,1.3791
